Rooms,Price,Distance,Bedroom2,Bathroom,Landsize,BuildingArea,YearBuilt
2,1480000.0,2.5,2.0,1.0,202.0,,
2,1035000.0,2.5,2.0,1.0,156.0,79.0,1900.0
3,1465000.0,2.5,3.0,2.0,134.0,150.0,1900.0
3,850000.0,2.5,3.0,2.0,94.0,,
4,1600000.0,2.5,3.0,1.0,120.0,142.0,2014.0
2,941000.0,2.5,2.0,1.0,181.0,,
3,1876000.0,2.5,4.0,2.0,245.0,210.0,1910.0
2,1636000.0,2.5,2.0,1.0,256.0,107.0,1890.0
3,1000000.0,2.5,,,,,
2,745000.0,2.5,,,,,
1,300000.0,2.5,1.0,1.0,0.0,,
2,1097000.0,2.5,3.0,1.0,220.0,75.0,1900.0
2,542000.0,2.5,,,,,
2,760000.0,2.5,,,,,
1,481000.0,2.5,,,,,
2,700000.0,2.5,2.0,2.0,0.0,,
3,1350000.0,2.5,3.0,2.0,214.0,190.0,2005.0
2,750000.0,2.5,2.0,2.0,0.0,94.0,2009.0
4,1985000.0,2.5,,,,,
1,500000.0,2.5,,,,,
2,1172500.0,2.5,2.0,1.0,195.0,,
1,441000.0,2.5,1.0,1.0,0.0,,
2,1310000.0,2.5,2.0,1.0,238.0,97.0,1890.0
3,1200000.0,2.5,3.0,2.0,113.0,110.0,1880.0
2,847000.0,2.5,,,,,
3,1176500.0,2.5,2.0,1.0,138.0,105.0,1890.0
3,955000.0,2.5,3.0,1.0,183.0,,
2,890000.0,2.5,2.0,1.0,150.0,73.0,1985.0
4,1330000.0,2.5,4.0,2.0,780.0,135.0,1900.0
3,900000.0,2.5,3.0,2.0,0.0,,2010.0
3,1090000.0,2.5,3.0,2.0,4290.0,27.0,
2,500000.0,2.5,2.0,1.0,0.0,60.0,1970.0
2,1100000.0,2.5,2.0,2.0,124.0,135.0,2013.0
2,1315000.0,2.5,2.0,1.0,147.0,85.0,1900.0
1,480000.0,2.5,,,,,
1,423500.0,2.5,,,,,
1,426000.0,2.5,1.0,1.0,0.0,,
3,1447500.0,2.5,3.0,3.0,166.0,174.0,2012.0
1,457000.0,2.5,1.0,1.0,0.0,50.0,
2,1135000.0,2.5,2.0,2.0,98.0,128.0,1920.0
2,700000.0,2.5,,,,,
4,1542000.0,2.5,4.0,3.0,0.0,,
3,962000.0,2.5,,,,,
3,1290000.0,2.5,3.0,2.0,147.0,18.0,
3,1290000.0,2.5,3.0,1.0,168.0,124.0,1950.0
1,470000.0,2.5,1.0,1.0,0.0,50.0,2013.0
2,1180000.0,2.5,2.0,1.0,162.0,91.0,1900.0
3,1195000.0,2.5,3.0,2.0,120.0,128.0,1998.0
2,1012500.0,2.5,2.0,1.0,182.0,82.0,1900.0
2,970000.0,2.5,,,,,
2,1030000.0,2.5,2.0,1.0,172.0,81.0,1930.0
3,927000.0,2.5,,,,,
3,840000.0,13.5,3.0,2.0,303.0,225.0,2016.0
3,730000.0,13.5,3.0,2.0,0.0,145.0,1965.0
3,770000.0,13.5,3.0,2.0,0.0,145.0,1965.0
2,603000.0,13.5,2.0,1.0,272.0,84.0,1950.0
3,700000.0,13.5,3.0,2.0,239.0,134.0,2009.0
3,600000.0,13.5,2.0,1.0,290.0,116.0,1980.0
2,500000.0,13.5,2.0,1.0,168.0,86.0,2011.0
2,420000.0,13.5,,,,,
3,500000.0,13.5,,,,,
5,1035000.0,13.5,,,,,
4,960000.0,13.5,,,,,
4,960000.0,13.5,,,,,
3,720000.0,13.5,2.0,1.0,620.0,,
4,785000.0,13.5,3.0,1.0,597.0,127.0,
6,725000.0,13.5,6.0,3.0,976.0,186.0,1980.0
2,450000.0,13.5,2.0,1.0,110.0,90.0,2015.0
2,515000.0,13.5,2.0,1.0,141.0,73.0,2013.0
3,680000.0,13.5,,,,,
2,530000.0,13.5,2.0,1.0,120.0,94.0,2012.0
3,895000.0,13.5,3.0,1.0,1063.0,133.0,1975.0
3,600000.0,13.5,,,,,
3,805000.0,13.5,3.0,1.0,0.0,105.0,1950.0
3,760000.0,13.5,,,,,
